idx,question,type
1,정기주주총회를 개최하는가?,1
2,임시주주총회를 개최하는가?,1
3,정기주주총회는 언제 소집하나?,2
4,주주총회의 결의는 출석한 주주의 의결권의 과반수로 하는가?,2
5,주주총회의 결의는 발행주식총수의 4분의1 이상의 수로 하는가?,2
6,주주는 대리인으로 하여금 그 의결권을 행사하게 할 수 있는가?,2
7,대리인은 위임장을 이 회사에 제출하여야 하는가?,2
8,주주총회 의장은 누구인가?,2
9,주주총회 의장이 유고 또는 부재시에 어떻게 하는가?,2
10,이사는 어디에서 선임하는가?,2
11,이사를 선임하기 위한 정족수는 얼마인가?,2
12,이사 선임에 집중투표제를 배제하였는가?,2
13,상근 이사는 몇 명인가?,2
14,사외이사는 몇 명인가?,2
15,이사의 임기는 몇 년인가?,2
16,이사의 임기를 임기 중 최종 결산기에 대한 정기주종 종료시까지 연장 할 수 있는가?,2
17,대표이사는 어디서 선임하는가?,2
18,대표이사는 몇 명인가?,2
19,이사회 소집기한은 얼마인가?,2
20,이사회의 결의 요건은 무엇인가?,2
21,이사의 보수 및 퇴직금을 정하고 있는가?,1
22,집행임원제도를 두었는가?,1
23,"이사 혹은 집행임원, 감사의 책임 감경조항이 있는가?",1
24,이사회내 위원회를 두고 있는가?,1
25,위원회 명칭은 무엇인가?,2
26,소집통지를 일간신문 혹은 전자공시시스템으로 갈음할 수 있는가?,2
27,통지 기간은 얼마인가?,2
28,주주총회 소집지는 어디인가?,2
29,주주총회의 결의는 어떻게 하는가?,2
30,회사가 발행예정할 주식의 총수는 얼마인가?,2
31,회사가 설립시에 발행하는 주식의 총수는 얼마인가?,2
32,회사가 발행하는 주식 1주의 금액은 얼마인가?,2
33,회사가 발생하는 주식의 종류는 무엇인가?,2
34,발행주식 한도는 얼마인가?,2
35,매수선택권 부여하는 방법은 무엇인가?,2
36,매수선택권 부여 대상은 누구인가?,2
37,배당우선주식 발생 주식의 수는 얼마인가?,2
38,우선배당율은 어떻게 정하는가?,2
39,어느 사업연도에 있어서 소정의 배당을 하지 못한 경우?,2
40,전환주식 발생 주식의 수는 얼마인가?,2
41,전환요구권자는 누구인가?,2
42,전환을 청구할 수 있는 기간은 언제인가?,2
43,전환기간 만료일에 자동전환 되는가?,2
44,전환으로 인하여 발행하는 주식의 발행가액은?,2
45,전환으로 인하여 발행할 주식의 수는?,2
46,상환주식 발생 주식의 수는 얼마인가?,2
47,상환주식 상환요구권자는 누구인가?,2
48,상환 기간은 언제인가?,2
49,상환기간 만료일에 자동상환 되는가?,2
50,상환으로 인하여 발행하는 주식의 발행가액은?,2
51,신주 발행 방법은 무엇인가?,2
52,신주 발행할 경우 주식의 발행가격은 어떻게 정하는가?,2
53,실권주는 어떻게 정하는가?,2
54,주주총회의 투표는 서면투표 하는가?,1
55,주주총회의 투표는 전자투표 방식인가?,1
56,주식양도 제한사항은 무엇인가?,2
