idx,rewrite_query
1,[정관 조항]: 회사는 매 회계연도 종료 후 3개월 이내에 정기주주총회를 개최한다.
2,[정관 조항]: 이사회는 회사의 운영에 중대한 변화가 필요하다고 판단될 때 또는 주주의 1/3 이상의 요청이 있을 경우 임시주주총회를 소집할 수 있다.
3,[정관 조항]: 매 회계연도 종료 후 3개월 이내에 정기주주총회를 소집한다.
4,"[정관 조항]: 주주총회의 결의는, 법령 또는 본 정관에 특별한 규정이 없는 한, 출석한 주주의 의결권 과반수로 한다."
5,"[정관 조항]: 주주총회의 결의는 발행주식총수의 4분의 1 이상이 출석하고, 출석주주의 과반수 동의로 한다."
6,"[정관 조항]: 회사의 주주는 서면에 의한 위임장을 통해 대리인을 지정하여 그 의결권을 행사하게 할 수 있다. 단, 대리인은 주주 본인 외의 자로서 회사에 대해 의결권 행사권한이 있는 서면을 제출하여야 한다."
7,[정관 조항]: (대리인의 위임장 제출) 회사에 대한 모든 대리인은 회사에 대해 행사할 권한의 범위를 명시한 위임장을 회사에 제출하여야 한다.
8,[정관 조항]: 주주총회의 의장은 이사회에서 선임된 이사 중에서 선출한다.
9,[정관 조항]: 주주총회 의장이 유고 또는 부재 시에는 이사회가 지명하는 이사 중 한 명이 의장의 직무를 수행한다.
10,"[정관 조항]: 이사는 정기주주총회에서 선임한다. 이사의 선임은 주주총회에서의 의결을 통하여 이루어지며, 이사 후보는 이사회 또는 주주의 제안으로 상정될 수 있다."
11,[정관 조항]: 이사의 선임은 주주총회에서 재적주주 과반수의 출석과 출석주주 과반수의 찬성으로 결정한다.
12,"[정관 조항]: 이사의 선임은 상법 및 본 정관에 의거하여 집중투표제를 배제하고, 각 후보자에 대한 일반투표로 실시한다."
13,"[정관 조항]: 상근 이사의 수는 회사의 운영상 필요에 따라 이사회가 결정하되, 최소 1인 이상으로 한다."
14,[정관 조항]: 회사의 사외이사는 3명으로 한다.
15,"[정관 조항]: (이사의 임기) 이사의 임기는 3년으로 하며, 연임할 수 있다."
16,"[정관 조항]: 이사의 임기는 정기주주총회 종료 시까지로 하되, 임기 중 최종 결산기에 대한 정기주주총회 종료 시까지 임기를 연장할 수 있다."
17,"[정관 조항]: 대표이사는 주주총회에 의해 선임되며, 이사회의 결의를 거쳐 대표이사로서의 직무를 수행하게 된다."
18,[정관 조항]: 회사의 대표이사는 1인으로 한다.
19,"[정관 조항]: 이사회는 회사의 중요한 사안에 대해 논의하기 위하여 필요 시 언제든지 소집할 수 있으며, 정기 이사회 소집은 적어도 회의 7일 전에 각 이사에게 통지하여야 한다."
20,[정관 조항]: 이사회는 이사 전원이 아닌 과반수의 출석과 출석 이사 과반수의 찬성으로 결의한다.
21,"[정관 조항]: (이사의 보수 및 퇴직금) 1. 이사의 보수 및 퇴직금은 이사회의 결의를 거쳐 정한다. 2. 이사의 보수는 회사의 재정 상태, 업무의 난이도 및 시장 수준을 고려하여 결정한다. 3. 이사가 퇴직할 때 그간의 공헌도에 따라 퇴직금을 지급할 수 있다."
22,"[정관 조항]: 본 회사는 집행임원제도를 두며, 집행임원의 선임과 해임은 이사회의 결의로 한다. 집행임원은 회사의 일상적인 경영활동을 담당하고, 이사회의 방침에 따라 업무를 집행한다."
23,"[정관 조항]: 회사는 이사 혹은 집행임원, 감사가 그 직무를 성실하게 수행하는 과정에서 발생한 손해에 대하여 고의 또는 중대한 과실이 없는 경우, 그 책임을 감경할 수 있다."
24,[정관 조항]: 회사는 이사회의 효율적인 운영을 위하여 필요한 경우 이사회 내에 여러 위원회를 둘 수 있다. 위원회의 설치와 운영에 관한 사항은 이사회의 결의를 통해 별도로 정한다.
25,"[정관 조항]: (위원회) 1. 회사는 필요에 따라 이사회의 결정으로 여러 위원회를 설치할 수 있다. 2. 위원회의 명칭, 구성, 운영 등에 관한 사항은 이사회가 별도로 정한다."
26,[정관 조항]: 주주총회 소집통지는 회사의 결정에 따라 일간신문의 게재 또는 전자공시시스템을 통한 공고로 갈음할 수 있다.
27,"[정관 조항]: 이사회 또는 주주총회 회의를 소집하는 경우, 회의 개최 7일 전까지 서면 또는 전자메일을 통해 모든 이사와 주주에게 통지하여야 한다."
28,[정관 조항]: 주주총회는 회사의 본사 소재지에서 개최한다.
29,"[정관 조항]: (주주총회 결의) 1. 주주총회는 정관에 별도 규정이 없는 한, 출석 주주의 과반수 찬성으로 결의한다. 2. 다만, 법률에 특별한 규정이 있는 사항에 대하여는 해당 법률이 정하는 바에 따른다."
30,"[정관 조항]: 회사는 최대 1,000,000주의 주식을 발행할 수 있다고 정한다."
31,"[정관 조항]: 회사의 설립 시 발행하는 주식의 총수는 1,000,000주로 한다."
32,"[정관 조항]: 회사가 발행하는 주식 1주의 금액은 5,000원으로 한다."
33,"[정관 조항]: 본 회사는 보통주와 우선주 두 종류의 주식을 발행할 수 있다. 보통주는 회사의 경영에 관한 의결권을 가지며, 우선주는 배당이나 잔여재산 분배 시 우선권을 가진다."
34,"[정관 조항]: 본 회사는 최대 1,000,000주의 주식을 발행할 수 있다."
35,"[정관 조항]: 회사는 임원 및 직원에게 회사의 주식을 시장가격 이하의 가격으로 매수할 수 있는 권리인 매수선택권을 부여할 수 있다. 이러한 매수선택권의 부여는 이사회의 결의를 거쳐 결정되며, 매수선택권의 조건, 범위, 행사 가격, 행사 기간 및 기타 필요한 사항은 이사회가 정한 바에 따른다."
36,"[정관 조항]: (매수선택권 부여 대상) 본 회사는 회사의 발전에 기여한 임직원, 이사 및 주요 고문에게 매수선택권을 부여할 수 있다."
37,"[정관 조항]: 본 회사는 배당우선주식으로 10,000주를 발행할 수 있다."
38,"[정관 조항]: (우선배당율) 1. 본 회사의 우선배당율은 매 회계연도 종료 후 이사회에서 결정한 이익배당 가능 금액의 5%로 한다. 2. 우선배당은 우선주 주주에게 그 해의 배당이 가능한 이익에서 먼저 배당하며, 상기 비율은 이사회의 결의로 변경할 수 있다."
39,"[정관 조항]: 회사는 전환권이 부여된 채무증권 또는 우선주에 대하여 그 전환권의 행사에 따라 발행되는 주식의 총수를 1,000,000주로 한다."
40,"[정관 조항]: 전환요구권자는 회사에 대해 전환사채 또는 신주인수권부사채를 소지하고 있으며, 정관이 정하는 바에 따라 회사의 주식으로의 전환을 요구할 수 있는 사채권자를 말한다."
41,[정관 조항]: 회사의 전환사채 또는 신주인수권부사채를 소지한 자는 발행일로부터 1년이 경과한 날의 다음 날부터 5년 이내에 회사에 대해 전환을 청구할 수 있다.
42,"[정관 조항]: 전환으로 인하여 발행하는 주식의 발행가액은 이사회가 결정한 가액에 따르되, 이는 전환을 요청하는 주주에게 불리하지 않은 조건에서 결정되어야 한다."
43,[정관 조항]: 회사는 전환사채 또는 신주인수권부사채를 발행하여 전환권이 행사될 경우에는 그 전환권에 의하여 발행되는 주식의 총수는 사채를 발행할 당시 이사회에서 결정한다.
44,"[정관 조항]: 회사는 최대 1,000,000주의 상환주식을 발행할 수 있다."
45,"[정관 조항]: 상환주식에 대한 상환요구권은 해당 상환주식을 보유한 주주에게 부여되며, 상환요구를 할 수 있는 주주는 상환주식을 발행한 날로부터 1년이 경과한 후부터 상환을 요구할 수 있는 권리를 가진다."
46,[정관 조항]: 회사의 채무를 상환하는 기간은 채무 발생일로부터 5년 이내로 한다.
47,"[정관 조항]: 본 회사의 상환 대상 채권에 대하여 상환기간 만료일이 도래할 경우, 해당 채권은 자동으로 상환됩니다. 이에 대한 구체적인 절차 및 방법은 이사회에서 별도로 정하는 바에 따릅니다."
48,"[정관 조항]: 본 회사의 신주 발행은 이사회의 결의를 거쳐 진행되며, 발행 방법으로는 일반 공모 또는 제3자 배정을 통할 수 있다. 이때, 제3자 배정의 경우에는 특정 투자자에게 유리한 조건으로 신주를 배정할 수 있으며, 이는 회사의 재무구조 개선, 사업 확장 등의 목적으로 이사회가 필요하다고 인정할 때에 한한다."
49,"[정관 조항]: 신주 발행 시 주식의 발행가격은 이사회에서 결정한다. 단, 신주의 발행가격은 결정 시점의 시장가격을 기준으로 하되, 시장상황, 회사의 재무상태 및 향후 전망 등을 종합적으로 고려하여 적정성을 판단하여야 한다."
50,[정관 조항]: 본 회사의 주주총회에서의 투표는 원칙적으로 대면투표를 기본으로 한다. 그러나 이사회의 결정에 따라 특정 사항에 한해 서면투표 또는 전자투표를 실시할 수 있다.
51,[정관 조항]:  (주식양도 제한) 1. 회사의 주주는 자신이 소유하고 있는 주식을 타인에게 양도하고자 할 때에는 사전에 이사회의 승인을 얻어야 한다. 2. 이사회는 주식양도의 승인 여부를 결정할 때 회사의 이익과 주주 구성의 균형을 고려하여 결정한다.
52,"[정관 조항]:  (목적) 본 회사는 소프트웨어 개발 및 판매, 정보 기술 서비스 제공, 그리고 관련 컨설팅 서비스를 목적으로 한다."
53,"[정관 조항]: (상호) 본 회사는 '○○주식회사'라는 상호로 하고, 영문으로는 '○○ Corporation'이라고 표기한다."
54,"[정관 조항]: (본점) 본 회사의 본점은 서울특별시에 두고, 필요에 따라 이사회의 결의로 국내외에 지점을 설립할 수 있다."
55,"[정관 조항]: 회사는 공고를 할 때는 회사의 본점 소재지에 위치한 공시 장소에 공고문을 게시하거나, 회사가 지정하는 신문 또는 전자적 방법을 통해 공고한다."
56,"[정관 조항]: (발기인) 본 회사의 발기인은 홍길동, 이순신, 강감찬으로 하며, 그 성명과 주소는 정관에 기재한다."
57,"[]: 본 회사의 발기인은 다음과 같으며, 그 주소는 본 정관에 기재한다. 1. 발기인 A: 서울특별시 강남구 역삼동 123-45 2. 발기인 B: 부산광역시 해운대구 우동 678-90"
58,"[정관 조항]: (발기인) ① 본 회사의 발기인은 다음과 같다. (이름, 주소, 주민등록번호) ② 발기인은 회사 설립 시 필요한 제반 절차를 이행할 책임이 있다."
